First_pokemon,Second_pokemon,Winner,Name_First,Type 1_First,Type 2_First,HP_First,Attack_First,Defense_First,Sp. Atk_First,Sp. Def_First,Speed_First,Generation_First,Legendary_First,Name_Second,Type 1_Second,Type 2_Second,HP_Second,Attack_Second,Defense_Second,Sp. Atk_Second,Sp. Def_Second,Speed_Second,Generation_Second,Legendary_Second
36,378,36,Nidorina,Poison,,70,62,67,55,55,56,1,False,Lileep,Rock,Grass,66,41,77,61,87,23,3,False
518,284,518,Electivire,Electric,,75,123,67,95,85,95,4,False,Mega Swampert,Water,Ground,100,150,110,95,110,70,3,False
97,376,376,Muk,Poison,,105,105,75,65,100,50,1,False,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False
690,542,542,Braviary,Normal,Flying,100,123,75,57,75,80,5,False,Palkia,Water,Dragon,90,120,100,150,120,100,4,True
669,482,482,Litwick,Ghost,Fire,50,30,55,65,55,20,5,False,Chingling,Psychic,,45,30,50,65,50,45,4,False
164,15,164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True,Metapod,Bug,,50,20,55,25,25,30,1,False
521,773,773,Yanmega,Bug,Flying,86,76,86,116,56,95,4,False,Dedenne,Electric,Fairy,67,58,57,81,67,101,6,False
260,107,260,Magby,Fire,,45,75,37,70,55,83,2,False,Krabby,Water,,30,105,90,25,25,50,1,False
524,140,524,Gliscor,Ground,Flying,75,95,125,45,75,95,4,False,Magikarp,Water,,20,10,55,15,20,80,1,False
789,275,275,Bergmite,Ice,,55,69,85,32,35,28,6,False,Sceptile,Grass,,70,85,65,105,85,120,3,False
412,490,490,Metang,Steel,Psychic,60,75,100,55,80,50,3,False,Chatot,Normal,Flying,76,65,45,92,42,91,4,False
76,9,9,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False
100,449,100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False,Shinx,Electric,,45,65,34,40,34,45,4,False
335,347,335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,Swalot,Poison,,100,73,83,73,83,55,3,False
137,542,542,Pinsir,Bug,,65,125,100,55,70,85,1,False,Palkia,Water,Dragon,90,120,100,150,120,100,4,True
437,40,40,Monferno,Fire,Fighting,64,78,52,78,52,81,4,False,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False
222,635,635,Dunsparce,Normal,,100,70,70,65,65,45,2,False,Cinccino,Normal,,75,95,60,65,60,115,5,False
363,41,41,Cacnea,Grass,,50,85,40,85,40,35,3,False,Clefairy,Fairy,,70,45,48,60,65,35,1,False
374,482,482,Corphish,Water,,43,80,65,50,35,35,3,False,Chingling,Psychic,,45,30,50,65,50,45,4,False
353,339,339,Numel,Fire,Ground,60,60,40,65,45,35,3,False,Manectric,Electric,,70,75,60,105,60,105,3,False
152,341,341,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,Plusle,Electric,,60,50,40,85,75,95,3,False
401,702,702,Walrein,Ice,Water,110,80,90,95,90,65,3,False,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True
682,742,682,Mienshao,Fighting,,65,125,60,95,60,105,5,False,Gogoat,Grass,,123,100,62,97,81,68,6,False
575,509,575,Panpour,Water,,50,53,48,53,48,64,5,False,Mantyke,Water,Flying,45,20,50,60,120,50,4,False
682,274,682,Mienshao,Fighting,,65,125,60,95,60,105,5,False,Grovyle,Grass,,50,65,45,85,65,95,3,False
786,773,773,Gourgeist Small Size,Ghost,Grass,55,85,122,58,75,99,6,False,Dedenne,Electric,Fairy,67,58,57,81,67,101,6,False
458,601,601,Burmy,Bug,,40,29,45,29,45,36,4,False,Sewaddle,Bug,Grass,45,53,70,40,60,42,5,False
130,260,130,Staryu,Water,,30,45,55,70,55,85,1,False,Magby,Fire,,45,75,37,70,55,83,2,False
323,165,165,Azurill,Normal,Fairy,50,20,40,20,40,20,3,False,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True
714,502,714,Keldeo Ordinary Forme,Water,Fighting,91,72,90,129,90,108,5,False,Skorupi,Poison,Bug,40,50,90,30,55,65,4,False
130,382,130,Staryu,Water,,30,45,55,70,55,85,1,False,Feebas,Water,,20,15,20,10,55,80,3,False
399,193,193,Spheal,Ice,Water,70,40,50,55,50,25,3,False,Xatu,Psychic,Flying,65,75,70,95,70,95,2,False
135,761,135,Electabuzz,Electric,,65,83,57,95,85,105,1,False,Skrelp,Poison,Water,50,60,60,60,60,30,6,False
42,515,42,Clefable,Fairy,,95,70,73,95,90,60,1,False,Lickilicky,Normal,,110,85,95,80,95,50,4,False
151,703,703,Omastar,Rock,Water,70,60,125,115,70,55,1,False,Tornadus Incarnate Forme,Flying,,79,115,70,125,80,111,5,True
416,591,591,Regice,Ice,,80,50,100,100,200,50,3,True,Audino,Normal,,103,60,86,60,86,50,5,False
751,137,137,Aegislash Blade Forme,Steel,Ghost,60,150,50,150,50,60,6,False,Pinsir,Bug,,65,125,100,55,70,85,1,False
614,657,614,Krookodile,Ground,Dark,95,117,80,65,70,92,5,False,Joltik,Bug,Electric,50,47,50,57,50,65,5,False
346,74,74,Gulpin,Poison,,70,43,53,43,53,40,3,False,Machoke,Fighting,,80,100,70,50,60,45,1,False
593,82,82,Timburr,Fighting,,75,80,55,25,35,35,5,False,Graveler,Rock,Ground,55,95,115,45,45,35,1,False
301,94,301,Swellow,Normal,Flying,60,85,60,50,50,125,3,False,Seel,Water,,65,45,55,45,70,45,1,False
230,474,474,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,False,Drifblim,Ghost,Flying,150,80,44,90,54,80,4,False
132,60,132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False,Psyduck,Water,,50,52,48,65,50,55,1,False
715,785,715,Keldeo Resolute Forme,Water,Fighting,91,72,90,129,90,108,5,False,Gourgeist Average Size,Ghost,Grass,65,90,122,58,75,84,6,False
300,736,300,Taillow,Normal,Flying,40,55,30,30,30,85,3,False,Litleo,Fire,Normal,62,50,58,73,54,72,6,False
340,182,340,Mega Manectric,Electric,,70,75,80,135,80,135,3,False,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False
370,359,370,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False,Spinda,Normal,,60,60,60,60,60,60,3,False
70,788,70,Kadabra,Psychic,,40,35,30,120,70,105,1,False,Gourgeist Super Size,Ghost,Grass,85,100,122,58,75,54,6,False
519,264,264,Magmortar,Fire,,75,95,67,125,95,83,4,False,Entei,Fire,,115,115,85,90,75,100,2,True
99,551,551,Cloyster,Water,Ice,50,95,180,85,45,70,1,False,Shaymin Land Forme,Grass,,100,100,100,100,100,100,4,True
191,475,475,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,Buneary,Normal,,55,66,44,44,56,85,4,False
704,334,704,Tornadus Therian Forme,Flying,,79,100,80,110,90,121,5,True,Mega Aggron,Steel,,70,140,230,60,80,50,3,False
602,722,722,Swadloon,Bug,Grass,55,63,90,50,80,42,5,False,Fennekin,Fire,,40,45,40,62,60,60,6,False
25,75,25,Rattata,Normal,,30,56,35,25,35,72,1,False,Machamp,Fighting,,90,130,80,65,85,55,1,False
290,53,53,Silcoon,Bug,,50,35,55,25,25,15,3,False,Parasect,Bug,Grass,60,95,80,60,80,30,1,False
487,461,461,Bonsly,Rock,,50,80,95,10,45,10,4,False,Wormadam Trash Cloak,Bug,Steel,60,69,95,69,95,36,4,False
277,128,128,Torchic,Fire,,45,60,40,70,50,45,3,False,Goldeen,Water,,45,67,60,35,50,63,1,False
740,711,711,Florges,Fairy,,78,65,68,112,154,75,6,False,Kyurem,Dragon,Ice,125,130,90,130,90,95,5,True
341,800,341,Plusle,Electric,,60,50,40,85,75,95,3,False,Volcanion,Fire,Water,80,110,120,130,90,70,6,True
549,635,635,Manaphy,Water,,100,100,100,100,100,100,4,False,Cinccino,Normal,,75,95,60,65,60,115,5,False
313,755,313,Vigoroth,Normal,,80,80,80,55,55,90,3,False,Swirlix,Fairy,,62,48,66,59,57,49,6,False
138,211,138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False,Quagsire,Water,Ground,95,85,85,65,65,35,2,False
364,273,273,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,Treecko,Grass,,40,45,35,65,55,70,3,False
390,363,363,Dusclops,Ghost,,40,70,130,60,130,25,3,False,Cacnea,Grass,,50,85,40,85,40,35,3,False
602,345,345,Swadloon,Bug,Grass,55,63,90,50,80,42,5,False,Roselia,Grass,Poison,50,60,45,100,80,65,3,False
605,109,109,Whirlipede,Bug,Poison,40,55,99,40,79,47,5,False,Voltorb,Electric,,40,30,50,55,55,100,1,False
689,221,689,Rufflet,Normal,Flying,70,83,50,37,50,60,5,False,Forretress,Bug,Steel,75,90,140,60,60,40,2,False
116,141,141,Hitmonchan,Fighting,,50,105,79,35,110,76,1,False,Gyarados,Water,Flying,95,125,79,60,100,81,1,False
257,247,257,Hitmontop,Fighting,,50,95,95,35,110,70,2,False,Houndour,Dark,Fire,45,60,30,80,50,65,2,False
2,246,246,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,Skarmory,Steel,Flying,65,80,140,40,70,70,2,False
256,269,269,Tyrogue,Fighting,,35,35,35,35,35,35,2,False,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False
157,163,163,Articuno,Ice,Flying,90,85,100,95,125,85,1,True,Mewtwo,Psychic,,106,110,90,154,90,130,1,True
106,617,106,Hypno,Psychic,,85,73,70,73,115,67,1,False,Darmanitan Zen Mode,Fire,Psychic,105,30,105,140,105,55,5,False
335,774,335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,Carbink,Rock,Fairy,50,50,150,50,150,50,6,False
368,317,317,Zangoose,Normal,,73,115,60,60,60,90,3,False,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False
103,34,103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False,Sandslash,Ground,,75,100,110,45,55,65,1,False
392,223,223,Chimecho,Psychic,,65,50,70,95,80,65,3,False,Gligar,Ground,Flying,65,75,105,35,65,85,2,False
248,597,248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,False,Palpitoad,Water,Ground,75,65,55,65,55,69,5,False
535,692,535,Frost Rotom,Electric,Ice,50,65,107,105,107,86,4,False,Mandibuzz,Dark,Flying,110,65,105,55,95,80,5,False
99,676,99,Cloyster,Water,Ice,50,95,180,85,45,70,1,False,Beartic,Ice,,95,110,80,70,80,50,5,False
238,219,219,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False
672,177,177,Axew,Dragon,,46,87,60,30,40,57,5,False,Furret,Normal,,85,76,64,45,55,90,2,False
586,482,482,Gigalith,Rock,,85,135,130,60,80,25,5,False,Chingling,Psychic,,45,30,50,65,50,45,4,False
766,773,766,Heliolisk,Electric,Normal,62,55,52,109,94,109,6,False,Dedenne,Electric,Fairy,67,58,57,81,67,101,6,False
64,779,64,Growlithe,Fire,,55,70,45,70,50,60,1,False,Phantump,Ghost,Grass,43,70,48,50,60,38,6,False
185,732,732,Chinchou,Water,Electric,75,38,38,56,56,67,2,False,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False
337,664,337,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,False,Tynamo,Electric,,35,55,40,45,40,60,5,False
318,306,306,Whismur,Normal,,64,51,23,51,23,28,3,False,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False
575,34,34,Panpour,Water,,50,53,48,53,48,64,5,False,Sandslash,Ground,,75,100,110,45,55,65,1,False
472,201,472,Ambipom,Normal,,75,100,66,60,66,115,4,False,Sudowoodo,Rock,,70,100,115,30,65,30,2,False
724,259,724,Delphox,Fire,Psychic,75,69,72,114,100,104,6,False,Elekid,Electric,,45,63,37,65,55,95,2,False
551,169,551,Shaymin Land Forme,Grass,,100,100,100,100,100,100,4,True,Meganium,Grass,,80,82,100,83,100,80,2,False
364,798,798,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,Hoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,True
124,755,124,Kangaskhan,Normal,,105,95,80,40,80,90,1,False,Swirlix,Fairy,,62,48,66,59,57,49,6,False
174,9,9,Croconaw,Water,,65,80,80,59,63,58,2,False,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False
376,739,376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,Floette,Fairy,,54,45,47,75,98,52,6,False
110,346,110,Electrode,Electric,,60,50,70,80,80,140,1,False,Gulpin,Poison,,70,43,53,43,53,40,3,False
505,434,505,Toxicroak,Poison,Fighting,83,106,65,86,65,85,4,False,Grotle,Grass,,75,89,85,55,65,36,4,False
255,776,255,Smeargle,Normal,,55,20,35,20,45,75,2,False,Sliggoo,Dragon,,68,75,53,83,113,60,6,False
464,303,303,Vespiquen,Bug,Flying,70,80,102,80,102,40,4,False,Pelipper,Water,Flying,60,50,100,85,70,65,3,False
120,201,201,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,Sudowoodo,Rock,,70,100,115,30,65,30,2,False
578,157,157,Musharna,Psychic,,116,55,85,107,95,29,5,False,Articuno,Ice,Flying,90,85,100,95,125,85,1,True
325,289,325,Skitty,Normal,,50,45,45,35,35,50,3,False,Wurmple,Bug,,45,45,35,20,30,20,3,False
604,638,638,Venipede,Bug,Poison,30,45,59,30,39,57,5,False,Gothitelle,Psychic,,70,55,95,95,110,65,5,False
208,84,84,Sunflora,Grass,,75,75,55,105,85,30,2,False,Ponyta,Fire,,50,85,55,65,65,90,1,False
735,390,735,Vivillon,Bug,Flying,80,52,50,90,50,89,6,False,Dusclops,Ghost,,40,70,130,60,130,25,3,False
417,682,682,Registeel,Steel,,80,75,150,75,150,50,3,True,Mienshao,Fighting,,65,125,60,95,60,105,5,False
489,581,581,Happiny,Normal,,100,5,5,15,65,30,4,False,Unfezant,Normal,Flying,80,115,80,65,55,93,5,False
331,744,744,Aron,Steel,Rock,50,70,100,40,40,30,3,False,Pangoro,Fighting,Dark,95,124,78,69,71,58,6,False
252,527,527,Donphan,Ground,,90,120,120,60,60,50,2,False,Gallade,Psychic,Fighting,68,125,65,65,115,80,4,False
738,339,339,Flabébé,Fairy,,44,38,39,61,79,42,6,False,Manectric,Electric,,70,75,60,105,60,105,3,False
289,567,567,Wurmple,Bug,,45,45,35,20,30,20,3,False,Herdier,Normal,,65,80,65,35,65,60,5,False
185,742,185,Chinchou,Water,Electric,75,38,38,56,56,67,2,False,Gogoat,Grass,,123,100,62,97,81,68,6,False
703,44,703,Tornadus Incarnate Forme,Flying,,79,115,70,125,80,111,5,True,Ninetales,Fire,,73,76,75,81,100,100,1,False
369,298,369,Seviper,Poison,,73,100,60,100,60,65,3,False,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False
316,255,316,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,Smeargle,Normal,,55,20,35,20,45,75,2,False
669,702,702,Litwick,Ghost,Fire,50,30,55,65,55,20,5,False,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True
175,327,175,Feraligatr,Water,,85,105,100,79,83,78,2,False,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False
305,553,553,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False,Arceus,Normal,,120,120,120,120,120,120,4,True
339,132,339,Manectric,Electric,,70,75,60,105,60,105,3,False,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False
387,196,387,Banette,Ghost,,64,115,65,83,63,65,3,False,Ampharos,Electric,,90,75,85,115,90,55,2,False
447,148,148,Kricketot,Bug,,37,25,41,25,41,25,4,False,Flareon,Fire,,65,130,60,95,110,65,1,False
107,142,142,Krabby,Water,,30,105,90,25,25,50,1,False,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,False
431,435,431,Deoxys Defense Forme,Psychic,,50,70,160,70,160,90,3,True,Torterra,Grass,Ground,95,109,105,75,85,56,4,False
43,761,43,Vulpix,Fire,,38,41,40,50,65,65,1,False,Skrelp,Poison,Water,50,60,60,60,60,30,6,False
40,33,40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,Sandshrew,Ground,,50,75,85,20,30,40,1,False
453,796,453,Roserade,Grass,Poison,60,70,65,125,105,90,4,False,Diancie,Rock,Fairy,50,100,150,100,150,50,6,True
281,478,478,Mudkip,Water,,50,70,50,50,50,40,3,False,Mismagius,Ghost,,60,60,60,105,105,105,4,False
32,63,32,Raichu,Electric,,60,90,55,90,80,110,1,False,,Fighting,,65,105,60,60,70,95,1,False
495,439,495,Mega Garchomp,Dragon,Ground,108,170,115,120,95,92,4,False,Piplup,Water,,53,51,53,61,56,40,4,False
104,355,355,Onix,Rock,Ground,35,45,160,30,45,70,1,False,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False
544,155,155,Regigigas,Normal,,110,160,110,80,110,100,4,True,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False
411,190,411,Beldum,Steel,Psychic,40,55,80,35,60,30,3,False,Togepi,Fairy,,35,20,65,40,65,20,2,False
517,662,662,Tangrowth,Grass,,100,100,125,110,50,50,4,False,Klang,Steel,,60,80,95,70,85,50,5,False
534,640,534,Wash Rotom,Electric,Water,50,65,107,105,107,86,4,False,Duosion,Psychic,,65,40,50,125,60,30,5,False
631,800,631,Garbodor,Poison,,80,95,82,60,82,75,5,False,Volcanion,Fire,Water,80,110,120,130,90,70,6,True
312,202,202,Slakoth,Normal,,60,60,60,35,35,30,3,False,Politoed,Water,,90,75,75,90,100,70,2,False
602,770,770,Swadloon,Bug,Grass,55,63,90,50,80,42,5,False,Aurorus,Rock,Ice,123,77,72,99,92,58,6,False
462,426,426,Mothim,Bug,Flying,70,94,50,94,50,66,4,False,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True
104,707,707,Onix,Rock,Ground,35,45,160,30,45,70,1,False,Reshiram,Dragon,Fire,100,120,100,150,120,90,5,True
225,139,139,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,False,Tauros,Normal,,75,100,95,40,70,110,1,False
255,40,40,Smeargle,Normal,,55,20,35,20,45,75,2,False,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False
72,764,72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,False,Clawitzer,Water,,71,73,88,120,89,59,6,False
390,611,611,Dusclops,Ghost,,40,70,130,60,130,25,3,False,Basculin,Water,,70,92,65,80,55,98,5,False
389,298,298,Duskull,Ghost,,20,40,90,30,90,25,3,False,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False
344,589,344,Illumise,Bug,,65,47,55,73,75,85,3,False,Drilbur,Ground,,60,85,40,30,45,68,5,False
675,272,272,Cubchoo,Ice,,55,70,40,60,40,40,5,False,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False
269,91,269,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False
599,511,511,Throh,Fighting,,120,100,85,30,85,45,5,False,Abomasnow,Grass,Ice,90,92,75,92,85,60,4,False
83,18,83,Golem,Rock,Ground,80,120,130,55,65,45,1,False,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False
569,479,479,Purrloin,Dark,,41,50,37,50,37,66,5,False,Honchkrow,Dark,Flying,100,125,52,105,52,71,4,False
180,220,180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False,Pineco,Bug,,50,65,90,35,35,15,2,False
787,514,787,Gourgeist Large Size,Ghost,Grass,75,95,122,58,75,69,6,False,Magnezone,Electric,Steel,70,70,115,130,90,60,4,False
458,676,676,Burmy,Bug,,40,29,45,29,45,36,4,False,Beartic,Ice,,95,110,80,70,80,50,5,False
715,187,715,Keldeo Resolute Forme,Water,Fighting,91,72,90,129,90,108,5,False,Pichu,Electric,,20,40,15,35,35,60,2,False
737,798,737,Pyroar,Fire,Normal,86,68,72,109,66,106,6,False,Hoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,True
524,510,524,Gliscor,Ground,Flying,75,95,125,45,75,95,4,False,Snover,Grass,Ice,60,62,50,62,60,40,4,False
579,576,576,Pidove,Normal,Flying,50,55,50,36,30,43,5,False,Simipour,Water,,75,98,63,98,63,101,5,False
778,577,778,Klefki,Steel,Fairy,57,80,91,80,87,75,6,False,Munna,Psychic,,76,25,45,67,55,24,5,False
222,580,580,Dunsparce,Normal,,100,70,70,65,65,45,2,False,Tranquill,Normal,Flying,62,77,62,50,42,65,5,False
472,125,472,Ambipom,Normal,,75,100,66,60,66,115,4,False,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,False
735,729,735,Vivillon,Bug,Flying,80,52,50,90,50,89,6,False,Diggersby,Normal,Ground,85,56,77,50,77,78,6,False
652,245,245,Foongus,Grass,Poison,69,55,45,55,55,15,5,False,Mantine,Water,Flying,65,40,70,80,140,70,2,False
144,756,756,Ditto,Normal,,48,48,48,48,48,48,1,False,Slurpuff,Fairy,,82,80,86,85,75,72,6,False
213,550,550,Umbreon,Dark,,95,65,110,60,130,65,2,False,Darkrai,Dark,,70,90,90,135,90,125,4,True
433,689,689,Turtwig,Grass,,55,68,64,45,55,31,4,False,Rufflet,Normal,Flying,70,83,50,37,50,60,5,False
590,339,339,Excadrill,Ground,Steel,110,135,60,50,65,88,5,False,Manectric,Electric,,70,75,60,105,60,105,3,False
419,593,419,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,3,True,Timburr,Fighting,,75,80,55,25,35,35,5,False
431,790,790,Deoxys Defense Forme,Psychic,,50,70,160,70,160,90,3,True,Avalugg,Ice,,95,117,184,44,46,28,6,False
6,364,6,Charmeleon,Fire,,58,64,58,80,65,80,1,False,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False
733,379,379,Scatterbug,Bug,,38,35,40,27,25,35,6,False,Cradily,Rock,Grass,86,81,97,81,107,43,3,False
22,474,474,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,Drifblim,Ghost,Flying,150,80,44,90,54,80,4,False
327,70,70,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False,Kadabra,Psychic,,40,35,30,120,70,105,1,False
243,366,366,Octillery,Water,,75,105,75,105,75,45,2,False,Altaria,Dragon,Flying,75,70,90,70,105,80,3,False
215,467,467,Slowking,Water,Psychic,95,75,80,100,110,30,2,False,Floatzel,Water,,85,105,55,85,50,115,4,False
478,492,478,Mismagius,Ghost,,60,60,60,105,105,105,4,False,Gible,Dragon,Ground,58,70,45,40,45,42,4,False
705,609,705,Thundurus Incarnate Forme,Electric,Flying,79,115,70,125,80,111,5,True,Petilil,Grass,,45,35,50,70,50,30,5,False
505,693,505,Toxicroak,Poison,Fighting,83,106,65,86,65,85,4,False,Heatmor,Fire,,85,97,66,105,66,65,5,False
729,314,314,Diggersby,Normal,Ground,85,56,77,50,77,78,6,False,Slaking,Normal,,150,160,100,95,65,100,3,False
570,734,570,Liepard,Dark,,64,88,50,88,50,106,5,False,Spewpa,Bug,,45,22,60,27,30,29,6,False
411,632,632,Beldum,Steel,Psychic,40,55,80,35,60,30,3,False,Zorua,Dark,,40,65,40,80,40,65,5,False
769,758,758,Amaura,Rock,Ice,77,59,50,67,63,46,6,False,Malamar,Dark,Psychic,86,92,88,68,75,73,6,False
234,123,234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,False,Tangela,Grass,,65,55,115,100,40,60,1,False
263,281,263,Raikou,Electric,,90,85,75,115,100,115,2,True,Mudkip,Water,,50,70,50,50,50,40,3,False
94,616,616,Seel,Water,,65,45,55,45,70,45,1,False,Darmanitan Standard Mode,Fire,,105,140,55,30,55,95,5,False
368,307,307,Zangoose,Normal,,73,115,60,60,60,90,3,False,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,False
212,637,212,Espeon,Psychic,,65,65,60,130,95,110,2,False,Gothorita,Psychic,,60,45,70,75,85,55,5,False
326,794,794,Delcatty,Normal,,70,65,65,55,55,70,3,False,Yveltal,Dark,Flying,126,131,95,131,98,99,6,True
120,55,120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False
770,104,104,Aurorus,Rock,Ice,123,77,72,99,92,58,6,False,Onix,Rock,Ground,35,45,160,30,45,70,1,False
501,452,501,Hippowdon,Ground,,108,112,118,68,72,47,4,False,Budew,Grass,Poison,40,30,35,50,70,55,4,False
289,192,192,Wurmple,Bug,,45,45,35,20,30,20,3,False,Natu,Psychic,Flying,40,50,45,70,45,70,2,False
598,665,598,Seismitoad,Water,Ground,105,95,75,85,75,74,5,False,Eelektrik,Electric,,65,85,70,75,70,40,5,False
